TransactionDateYYYMM	TransactionTypeID	DeviceSNR	DeviceLocationName	DeviceLocationAddress	DeviceLocationShopID	ShopID	ShopName	ShopAddress	Sum_EUR
201602	11	53000153	K41 Vilnius Pašilaičiu žiedas	Žemynos g. 14, Vilnius	113	113	Lietuvos spauda	NULL	1431601.000000
201602	10	53000476		Šeškines g. 30, 07004 Vilnius	116	116	Lietuvos paštas	NULL	1500.000000
201602	10	53000485		Jeruzales g. 14, 08018 Vilnius	116	116	Lietuvos paštas	NULL	300.000000
201602	10	53000488		Pupines g. 7, Salininkai, 02017 Vilnius	116	116	Lietuvos paštas	NULL	500.000000
201602	10	53000606	NULL	NULL	NULL	115	Maxima	NULL	10212.000000
201602	10	53000626	X-580 05	MXM 1X S.Stanevičiaus 42	115	115	Maxima	NULL	9674.000000
201602	10	53000635	NULL	NULL	NULL	115	Maxima	NULL	500.000000
201602	10	53000638	NULL	NULL	NULL	115	Maxima	NULL	1900.000000
201602	10	53000644	NULL	NULL	NULL	115	Maxima	NULL	11350.000000
201602	10	53000660	X-084 07	MXM 1X Parko 23	115	115	Maxima	NULL	3000.000000
201602	10	53000663	X-878 10	MXM 2X Taikos g.	115	115	Maxima	NULL	4700.000000
201602	10	53000670	NULL	NULL	NULL	115	Maxima	NULL	1200.000000
201602	10	53000673	NULL	NULL	NULL	115	Maxima	NULL	2200.000000
201602	10	53000684	X-878 05	MXM 2X Taikos g.	115	115	Maxima	NULL	6214.000000
201602	10	53000698	X-503 05	MXM 1X Žirmunu 89a	115	115	Maxima	NULL	2000.000000
201602	10	53000702	NULL	NULL	NULL	115	Maxima	NULL	5110.000000
201602	10	53000705	NULL	NULL	NULL	115	Maxima	NULL	500.000000
201602	10	53000725	NULL	NULL	NULL	115	Maxima	NULL	6900.000000
201602	10	53000767	X-025 18	MXM 2X Tuskulenu 66	115	115	Maxima	NULL	71213.000000
201602	10	53000779	X-503 04	MXM 1X Žirmunu 89a	115	115	Maxima	NULL	5700.000000
201602	10	53000792	NULL	NULL	NULL	115	Maxima	NULL	200.000000
201602	10	53000803	X-964 03	MXM 1X S.Batoro 43	115	115	Maxima	NULL	3400.000000
201602	10	53000810	X-477 03	MXM 1X Vyduno 27	115	115	Maxima	NULL	3400.000000
201602	10	53000814	X-964 08	MXM 1X S.Batoro 43	115	115	Maxima	NULL	13700.000000
201602	10	53000819	K14 Vilnius Ž.Paneriai murinis	Savanoriu pr.191, Vilnius	113	113	Lietuvos spauda	NULL	71122.000000
201602	10	53000850	NULL	NULL	NULL	115	Maxima	NULL	10800.000000
201602	10	53000880	K6 Vilnius Gedimino-Lukiškiu	Gedimino pr.44, Vilnius	113	113	Lietuvos spauda	NULL	258928.000000
201602	10	53000880	K6 Vilnius Gedimino-Lukiškiu	Gedimino pr.44, Vilnius	113	137	Lietuvos spauda-Test	NULL	100.000000
201602	10	53000885	NULL	NULL	NULL	115	Maxima	NULL	3020.000000
201602	10	53000896	X-286 06	MXM 1X Parko 60a	115	115	Maxima	NULL	3067.000000
201602	10	53000904	X-383 04	MXM 1X Antakalnio 61	115	115	Maxima	NULL	9900.000000
201602	10	53000908	NULL	NULL	NULL	115	Maxima	NULL	2200.000000
201602	10	53000917	NULL	NULL	NULL	115	Maxima	NULL	1300.000000
201602	10	53000943	NULL	NULL	NULL	115	Maxima	NULL	300.000000
201602	10	53000969	NULL	NULL	NULL	115	Maxima	NULL	4500.000000
201602	10	53000992	X-040 03	MXM 1X Žaliuju ežeru g.	115	115	Maxima	NULL	4788.000000
201602	10	53001001	NULL	NULL	NULL	115	Maxima	NULL	7020.000000
201602	10	53001033	NULL	NULL	NULL	115	Maxima	NULL	11293.000000
201602	10	53001036	NULL	NULL	NULL	115	Maxima	NULL	300.000000
201602	10	53001070	Stotis K36	Seiniu g.1, Vilnius	114	136	Vaskota-Test	NULL	650.000000
201602	10	53001088	NULL	NULL	NULL	115	Maxima	NULL	200.000000
201602	10	53001095	X-930 05	MXM 2X Ukmerges 369	115	115	Maxima	NULL	1200.000000
201602	10	53001149	NULL	NULL	NULL	115	Maxima	NULL	600.000000
201602	10	53001150	X-120 05	MXM 2X Ukmerges g.	115	115	Maxima	NULL	2300.000000
201602	10	53001152	NULL	NULL	NULL	115	Maxima	NULL	500.000000
201602	10	53001158	NULL	NULL	NULL	115	Maxima	NULL	2000.000000
201602	10	53001197	NULL	NULL	NULL	113	Lietuvos spauda	NULL	232893.000000
201602	10	53001213	NULL	NULL	NULL	115	Maxima	NULL	200.000000
201602	10	53001239	NULL	NULL	NULL	115	Maxima	NULL	2500.000000
201602	10	53001242	NULL	NULL	NULL	115	Maxima	NULL	1600.000000
201602	11	53000108	K109 Vilnius N.Vilnios IKI	Parko g. 34A, Vilnius	113	113	Lietuvos spauda	NULL	1539116.000000
201602	11	53000108	K109 Vilnius N.Vilnios IKI	Parko g. 34A, Vilnius	113	137	Lietuvos spauda-Test	NULL	1448.000000
201602	11	53000118	K27 Vilnius Cerkves	Basanavičiaus g.26, Vilnius	113	113	Lietuvos spauda	NULL	913177.000000
201602	11	53000118	K27 Vilnius Cerkves	Basanavičiaus g.26, Vilnius	113	137	Lietuvos spauda-Test	NULL	1448.000000
201602	11	53000122	K162 Vilnius Jasinskio	Jasinskio g3, Vilnius	113	113	Lietuvos spauda	NULL	975979.000000
201602	11	53000122	K162 Vilnius Jasinskio	Jasinskio g3, Vilnius	113	137	Lietuvos spauda-Test	NULL	2896.000000
201602	11	53000126	K113 Vilnius Ofisas	Laisves 58, Vilnius	113	137	Lietuvos spauda-Test	NULL	2896.000000
201602	11	53000134	K17 Vilnius Lietuvos kinas	Pylimo g. 21, Vilnius	113	137	Lietuvos spauda-Test	NULL	579.000000
201602	11	53000144	K5 Vilnius Autobusu stotis	Sodu g.22 - autobusu stotis, Vilnius	113	137	Lietuvos spauda-Test	NULL	608.000000
